FishCode,PreyID,PreyIDsimple,AlternativeID,MasterName,LeftOtoCheck,RightOtoCheck,LeftLength,LeftWidth,LeftPerim,LeftArea,RightLength,RightWidth,RightPerim,RightArea,AverageLength,AverageWidth,AveragePerimeter,AverageArea,LeftComposition,RightComposition,Digestion,ActualFishLen,ActualFishWeight,AVGPredictedLength,SalmonSpecies,SalmonSex,SalmonLength,SalmonWeight,CollectionMonth,CollectionYear,CollectionDayofYear,Season,Latitude,Longitude,StatArea
17133,C,C,,17133HerringHerringC,YES,YES,2.760773926,1.246030955,7.180343663,2.404724998,2.809068839,1.23089107,7.342359872,2.43035418,2.784921383,1.238461013,7.261351768,2.417539589,,,4,,,127.7303,ch,,73,,7,2017,189,summer,48.33640251,-123.5492177,20
17133,D,D,,17133HerringHerringD,YES,YES,2.627478124,1.429401621,7.176169816,2.636568598,2.359793607,1.438706857,6.611072211,2.415768876,2.493635866,1.434054239,6.893621014,2.526168737,,,4,,,114.1325095,ch,,73,,7,2017,189,summer,48.33640251,-123.5492177,20
17136,A,A,,17136HerringHerringA,NO,YES,,,,,0.660502311,0.511970638,1.956978567,0.243420753,0.660502311,0.511970638,1.956978567,0.243420753,,,2,40,0.3839,28.55816888,ch,female,79,,7,2017,189,summer,48.45576417,-123.2645036,19
17136,B,B,,17136HerringHerringB,YES,YES,0.879768044,0.621058948,2.404908596,0.401441503,0.877769767,0.643611408,2.461234056,0.412541573,0.878768906,0.632335178,2.433071326,0.406991538,,,4,,,38.74729005,ch,female,79,,7,2017,189,summer,48.45576417,-123.2645036,19
17136,C,C,,17136HerringHerringC,NO,YES,,,,,0.672029715,0.507182353,1.811744179,0.238800662,0.672029715,0.507182353,1.811744179,0.238800662,,,4,,,29.09629116,ch,female,79,,7,2017,189,summer,48.45576417,-123.2645036,19
17140,A,A,Unidentified Fish,17140Unidentified FishHerringA,YES,YES,1.030248951,0.703864734,2.832756572,0.519921652,1.042017556,0.708580222,2.807254706,0.517336565,1.036133254,0.706222478,2.820005639,0.518629109,,,2,57,1.9766,46.09337254,ch,female,73,11.18,7,2017,204,summer,48.69080521,-123.370876,18
17140,B,B,Unidentified Fish,17140Unidentified FishHerringB,YES,YES,0.909424355,0.691621974,2.58417554,0.463128713,0.957393944,0.687139081,2.623612442,0.46663738,0.93340915,0.689380528,2.603893991,0.464883047,,,2,55,1.7113,41.29800592,ch,female,73,11.18,7,2017,204,summer,48.69080521,-123.370876,18
17140,C,C,Unidentified Fish,17140Unidentified FishHerringC,YES,NO,1.010294009,0.706850276,2.793992804,0.513663958,,,,,1.010294009,0.706850276,2.793992804,0.513663958,,,2,52,1.523,44.88714493,ch,female,73,11.18,7,2017,204,summer,48.69080521,-123.370876,18
17140,D,D,Unidentified Fish,17140Unidentified FishHerringD,YES,YES,1.018060794,0.70260266,2.786290214,0.508787431,0.986474412,0.672411926,2.758413748,0.469595824,1.002267603,0.687507293,2.772351981,0.489191628,,,2,57,1.7645,44.51245624,ch,female,73,11.18,7,2017,204,summer,48.69080521,-123.370876,18
17140,E,E,Unidentified Fish,17140Unidentified FishHerringE,YES,YES,1.199530534,0.740853566,3.180231273,0.621262024,1.146226244,0.752900805,3.108217271,0.60510814,1.172878389,0.746877186,3.144224272,0.613185082,,,2,53,1.9545,52.47690896,ch,female,73,11.18,7,2017,204,summer,48.69080521,-123.370876,18
17142,A,A,Unidentified Fish,17142Unidentified FishHerringA,YES,YES,2.158524027,1.165144344,5.849280109,1.796000898,2.137386229,1.162304975,5.753666284,1.778476854,2.147955128,1.16372466,5.801473197,1.787238876,,,4,,,97.99544129,ch,,68,,4,2017,102,spring,49.33074536,-123.369108,29
17146,A,A,,17146HerringHerringA,YES,YES,2.574518063,1.285209429,6.922747409,2.298327381,2.517707016,1.262733343,6.787766598,2.260342121,2.54611254,1.273971386,6.855257004,2.279334751,,,3,105,14.3878,116.5822256,ch,male,73.60406091,10,5,2017,133,spring,49.27278098,-123.3245234,29
17146,B,B,,17146HerringHerringB,YES,YES,2.234801442,1.15923664,5.877244709,1.952859536,2.185603861,1.140501044,5.766085367,1.851170952,2.210202652,1.149868842,5.821665038,1.902015244,,,4,,,100.9012802,ch,male,73.60406091,10,5,2017,133,spring,49.27278098,-123.3245234,29
17147,A,A,Unidentified Fish,17147Unidentified FishHerringA,YES,YES,1.183822729,0.759153313,3.16655119,0.646508485,1.19831498,0.757093606,3.203340014,0.647454173,1.191068855,0.75812346,3.184945602,0.646981329,,,4,,,53.32607627,ch,female,81,19.4,8,2017,224,summer,48.31142179,-123.6558777,20
17147,C,C,Unidentified Fish,17147Unidentified FishHerringC,NO,YES,,,,,1.553236801,0.849757067,4.052692578,0.92458896,1.553236801,0.849757067,4.052692578,0.92458896,,,4,,,70.23280034,ch,female,81,19.4,8,2017,224,summer,48.31142179,-123.6558777,20
17148,A,A,,17148HerringHerringA,NO,YES,,,,,3.715181679,1.718309743,10.33050866,4.480668693,3.715181679,1.718309743,10.33050866,4.480668693,,,4,,,171.1567111,ch,male,70,14.9,8,2017,224,summer,48.35375476,-123.8212643,20
17150,A,A,,17150HerringHerringA,YES,YES,4.125086577,1.788004764,12.32155795,5.06833041,4.091431982,1.769508348,11.60574599,5.048226144,4.10825928,1.778756556,11.96365197,5.058278277,,,4,,,189.5063597,ch,,71,14,8,2017,224,summer,48.33153436,-123.7085729,20
17150,B,B,Unidentified Fish,17150Unidentified FishHerringB,YES,YES,3.403674566,1.733500197,8.921871353,4.185987971,3.46298135,1.7103146,9.29070148,4.217034501,3.433327958,1.721907399,9.106286417,4.201511236,,,4,,,157.9992157,ch,,71,14,8,2017,224,summer,48.33153436,-123.7085729,20
17152,A,A,,17152HerringHerringA,YES,YES,0.982508906,0.669279083,2.735186758,0.460034696,1.003270762,0.672784868,2.678279943,0.4784939,0.992889834,0.671031976,2.706733351,0.469264298,,,4,,,44.07468323,ch,female,67,9.95,8,2017,224,summer,48.31142179,-123.6558777,20
17152,B,B,,17152HerringHerringB,YES,YES,1.136002659,0.735466998,3.181009758,0.586635613,1.080152928,0.731535683,2.981038181,0.563833867,1.108077794,0.733501341,3.08102397,0.57523474,,,4,,,49.45188756,ch,female,67,9.95,8,2017,224,summer,48.31142179,-123.6558777,20
17152,C,C,,17152HerringHerringC,YES,NO,1.052964857,0.643940033,2.716250486,0.49678817,,,,,1.052964857,0.643940033,2.716250486,0.49678817,,,4,,,46.87910545,ch,female,67,9.95,8,2017,224,summer,48.31142179,-123.6558777,20
17152,D,D,,17152HerringHerringD,YES,YES,1.270582502,0.694808005,3.193969517,0.634668057,1.181848897,0.706802226,3.03174294,0.593489044,1.2262157,0.700805116,3.112856229,0.614078551,,,4,,,54.96680128,ch,female,67,9.95,8,2017,224,summer,48.31142179,-123.6558777,20
17159,A,A,,17159HerringHerringA,NO,YES,,,,,1.161887299,0.729515563,3.115591535,0.598806277,1.161887299,0.729515563,3.115591535,0.598806277,,,2,58,2.0835,51.96382289,ch,female,63,,8,2017,224,summer,48.33640251,-123.5492177,20
17159,B,B,,17159HerringHerringB,YES,YES,1.177747044,0.750697608,3.199638836,0.619604632,1.162516551,0.762815716,3.187686646,0.623704399,1.170131798,0.756756662,3.193662741,0.621654516,,,2,54,1.4264,52.34869257,ch,female,63,,8,2017,224,summer,48.33640251,-123.5492177,20
17159,C,C,,17159HerringHerringC,YES,NO,1.12042357,0.704642964,2.971586111,0.569259732,,,,,1.12042357,0.704642964,2.971586111,0.569259732,,,2,53,1.262,50.02821309,ch,female,63,,8,2017,224,summer,48.33640251,-123.5492177,20
17159,D,D,,17159HerringHerringD,YES,YES,1.20495392,0.756232908,3.294842412,0.609534223,1.200154559,0.706441611,3.144183917,0.586720719,1.20255424,0.73133726,3.219513165,0.598127471,,,2,55,1.5378,53.86223701,ch,female,63,,8,2017,224,summer,48.33640251,-123.5492177,20
17159,F,F,,17159HerringHerringF,NO,YES,,,,,1.430674617,0.827340106,3.763898881,0.829548191,1.430674617,0.827340106,3.763898881,0.829548191,,,3,72,3.3183,64.51135247,ch,female,63,,8,2017,224,summer,48.33640251,-123.5492177,20
17161,A,A,,17161HerringHerringA,YES,YES,2.820744271,1.409233428,7.748753885,2.860653794,2.819718205,1.390617688,7.781818217,2.806151266,2.820231238,1.399925558,7.765286051,2.83340253,,,4,,,129.3786347,ch,,60,,8,2017,224,summer,48.33153436,-123.7085729,20
17167,A,A,,17167HerringHerringA,YES,YES,1.385397267,0.799120391,3.653817045,0.774925582,1.422151441,0.810082386,3.645912315,0.786106193,1.403774354,0.804601389,3.64986468,0.780515888,,,4,,,63.25559439,ch,,65,11,8,2017,224,summer,48.33153436,-123.7085729,20
17167,B,B,,17167HerringHerringB,YES,YES,1.000238217,0.631288676,2.696682303,0.461608093,1.0152229,0.644811135,2.793863705,0.473672984,1.007730559,0.638049906,2.745273004,0.467640539,,,4,,,44.76747793,ch,,65,11,8,2017,224,summer,48.33153436,-123.7085729,20
17167,C,C,,17167HerringHerringC,YES,YES,1.303263867,0.756575614,3.465621699,0.681338767,1.336146419,0.75771689,3.527495358,0.692196164,1.319705143,0.757146252,3.496558529,0.686767466,,,4,,,59.33107549,ch,,65,11,8,2017,224,summer,48.33153436,-123.7085729,20
17168,A,A,,17168HerringHerringA,YES,YES,1.301990102,0.794239453,3.447720874,0.729974021,1.289653189,0.791804838,3.433715457,0.72031191,1.295821646,0.793022146,3.440718166,0.725142966,,,3,61,1.8985,58.21614606,ch,male,69,,8,2017,224,summer,48.33153436,-123.7085729,20
17168,B,B,,17168HerringHerringB,YES,YES,1.370204506,0.771965433,3.611266113,0.750272406,1.373469728,0.762224113,3.543105437,0.717900301,1.371837117,0.767094773,3.577185775,0.734086354,,,3,64,2.5773,61.7647003,ch,male,69,,8,2017,224,summer,48.33153436,-123.7085729,20
17168,C,C,,17168HerringHerringC,YES,YES,1.106376407,0.687694637,2.954633793,0.535395712,1.048720426,0.673352814,2.847541301,0.505267871,1.077548417,0.680523726,2.901087547,0.520331792,,,4,,,48.02671518,ch,male,69,,8,2017,224,summer,48.33153436,-123.7085729,20
17170,A,A,,17170HerringHerringA,YES,YES,1.811171051,1.014844366,4.933298549,1.23780736,1.773067484,0.981006313,4.917589879,1.192007304,1.792119268,0.99792534,4.925444214,1.214907332,,,4,,,81.38431165,ch,male,68,11,8,2017,224,summer,48.33153436,-123.7085729,20
17170,B,B,,17170HerringHerringB,YES,YES,0.982509515,0.654867241,2.646824718,0.453424621,0.976888177,0.650008179,2.594128107,0.437094733,0.979698846,0.65243771,2.620476413,0.445259677,,,4,,,43.45890153,ch,male,68,11,8,2017,224,summer,48.33153436,-123.7085729,20
17170,C,C,,17170HerringHerringC,YES,YES,0.944309874,0.634939834,2.590975216,0.432061686,0.936874162,0.621661049,2.692980618,0.414617788,0.940592018,0.628300442,2.641977917,0.423339737,,,4,,,41.63331658,ch,male,68,11,8,2017,224,summer,48.33153436,-123.7085729,20
17170,D,D,,17170HerringHerringD,YES,YES,1.072754679,0.725382274,2.927305489,0.55451488,1.084831642,0.682254766,2.805609078,0.504183301,1.078793161,0.70381852,2.866457284,0.529349091,,,4,,,48.08482232,ch,male,68,11,8,2017,224,summer,48.33153436,-123.7085729,20
17170,E,E,,17170HerringHerringE,YES,NO,1.120169967,0.715285203,2.982714061,0.558014773,,,,,1.120169967,0.715285203,2.982714061,0.558014773,,,4,,,50.0163744,ch,male,68,11,8,2017,224,summer,48.33153436,-123.7085729,20
17171,A,A,Unidentified Fish,17171Unidentified FishHerringA,NO,YES,,,,,2.785246733,1.39262875,7.459625084,2.779846579,2.785246733,1.39262875,7.459625084,2.779846579,,,4,,,127.745488,ch,female,71,14.25,8,2017,224,summer,48.31142179,-123.6558777,20
17174,A,A,,17174HerringHerringA,YES,YES,1.331256374,0.776619889,3.610605385,0.730681767,1.32358946,0.767854954,3.582882824,0.716391482,1.327422917,0.772237422,3.596744105,0.723536625,,,3,62,1.7941,59.69135661,ch,female,48,,8,2017,224,summer,48.33640251,-123.5492177,20
17174,B,B,,17174HerringHerringB,YES,YES,0.008553362,0.007441614,0.024966415,0.0000468,2.589199895,1.348823088,7.075631603,2.528294045,1.298876629,0.678132351,3.550299009,1.264170423,,,4,,,58.35875877,ch,female,48,,8,2017,224,summer,48.33640251,-123.5492177,20
17175,A,A,,17175HerringHerringA,YES,YES,1.193561831,0.723706294,3.198035581,0.616162148,1.166075603,0.718556815,3.430652484,0.60897026,1.179818717,0.721131555,3.314344033,0.612566204,,,2,56,1.5059,52.80089735,ch,female,75,15.5,8,2017,224,summer,48.33640251,-123.5492177,20
17175,B,B,,17175HerringHerringB,NO,YES,,,,,1.405948469,0.836516552,3.892139375,0.817263408,1.405948469,0.836516552,3.892139375,0.817263408,,,2,63,2.195,63.35708643,ch,female,75,15.5,8,2017,224,summer,48.33640251,-123.5492177,20
17175,C,C,,17175HerringHerringC,YES,YES,1.055515683,0.662576894,2.75707619,0.487734015,1.048952013,0.656888916,2.743166514,0.476113008,1.052233848,0.659732905,2.750121352,0.481923512,,,3,51,1.1979,46.84498049,ch,female,75,15.5,8,2017,224,summer,48.33640251,-123.5492177,20
17175,D,D,,17175HerringHerringD,YES,YES,1.072512621,0.734493462,2.90819911,0.56562395,1.063041571,0.741055775,2.908867415,0.563127867,1.067777096,0.737774619,2.908533263,0.564375909,,,3,55,1.682,47.5705704,ch,female,75,15.5,8,2017,224,summer,48.33640251,-123.5492177,20
17175,F,F,,17175HerringHerringF,YES,YES,1.610602327,0.905814097,4.320592454,1.019834006,1.632846617,0.893774256,4.284837767,0.99813465,1.621724472,0.899794177,4.302715111,1.008984328,,,2,72,3.6626,73.4299418,ch,female,75,15.5,8,2017,224,summer,48.33640251,-123.5492177,20
17177,A,A,,17177HerringHerringA,YES,YES,1.107686386,0.721129774,3.025593985,0.551765331,1.100021406,0.726476756,2.966274178,0.547940934,1.103853896,0.723803265,2.995934082,0.549853133,,,2,52,1.5195,49.25470757,ch,,82,17.35,8,2017,224,summer,48.31502146,-123.6374662,20
17177,B,B,,17177HerringHerringB,YES,YES,1.129543985,0.726257662,3.016535676,0.571358432,1.136194529,0.719071789,2.986615241,0.554619061,1.132869257,0.722664726,3.001575459,0.562988747,,,2,53,1.1923,50.60920266,ch,,82,17.35,8,2017,224,summer,48.31502146,-123.6374662,20
17177,C,C,,17177HerringHerringC,YES,YES,1.065629865,0.675113652,2.874239636,0.519308628,1.057777535,0.663550143,2.79709482,0.508886637,1.0617037,0.669331898,2.835667228,0.514097633,,,3,48,0.9435,47.28705212,ch,,82,17.35,8,2017,224,summer,48.31502146,-123.6374662,20
17177,D,D,,17177HerringHerringD,YES,NO,1.091316202,0.720809913,2.990308845,0.554014394,,,,,1.091316202,0.720809913,2.990308845,0.554014394,,,3,57,1.1668,48.66942294,ch,,82,17.35,8,2017,224,summer,48.31502146,-123.6374662,20
17177,E,E,,17177HerringHerringE,YES,YES,1.060181063,0.666906357,2.821878453,0.510777948,1.058748493,0.663371888,2.799742668,0.516897451,1.059464778,0.665139123,2.810810561,0.5138377,,,3,53,0.7598,47.18253477,ch,,82,17.35,8,2017,224,summer,48.31502146,-123.6374662,20
17182,C,C,Unidentified Fish,17182Unidentified FishHerringC,YES,NO,1.127962946,0.687260974,2.977498804,0.547747174,,,,,1.127962946,0.687260974,2.977498804,0.547747174,,,4,,,50.38016625,ch,female,62,9.05,8,2017,224,summer,48.35967855,-123.7568238,20
17183,A,A,,17183HerringHerringA,YES,YES,1.411361081,0.819096577,3.718161559,0.791324613,1.45034656,0.843056378,3.836737846,0.841477004,1.430853821,0.831076478,3.777449703,0.816400809,,,3,61,2.0513,64.51971805,ch,male,,14.5,8,2017,224,summer,48.32031464,-123.6761939,20
17188,A,A,Unidentified Fish,17188Unidentified FishHerringA,YES,YES,2.97552572,1.441350303,8.137580462,3.024337604,2.970760888,1.450170923,8.318672415,3.014170769,2.973143304,1.445760613,8.228126439,3.019254187,,,4,,,136.5168757,ch,male,64,9,8,2017,224,summer,48.33153436,-123.7085729,20
17189,A,A,Unidentified Fish,17189Unidentified FishHerringA,YES,NO,2.98697686,1.489189582,8.281495728,3.137382783,,,,,2.98697686,1.489189582,8.281495728,3.137382783,,,4,,,137.1626538,ch,male,72,16,8,2017,224,summer,48.33153436,-123.7085729,20
17190,A,A,,17190HerringHerringA,YES,YES,1.400440267,0.814321712,3.670551187,0.81630082,1.40607138,0.825212254,3.7231202,0.815384523,1.403255824,0.819766983,3.696835694,0.815842672,,,2,66,3.2047,63.23138835,ch,female,80,20,8,2017,224,summer,48.33640251,-123.5492177,20
17190,B,B,,17190HerringHerringB,YES,YES,1.246082826,0.820337089,3.437562438,0.72060132,1.252409848,0.818104237,3.428234531,0.731824582,1.249246337,0.819220663,3.432898485,0.726212951,,,2,59,2.1259,56.0419175,ch,female,80,20,8,2017,224,summer,48.33640251,-123.5492177,20
17190,C,C,,17190HerringHerringC,YES,NO,1.462256657,0.844445894,3.890118368,0.847543833,,,,,1.462256657,0.844445894,3.890118368,0.847543833,,,2,66,3.0663,65.98566526,ch,female,80,20,8,2017,224,summer,48.33640251,-123.5492177,20
17190,D,D,,17190HerringHerringD,YES,NO,1.017735288,0.718436276,2.813627765,0.527132965,,,,,1.017735288,0.718436276,2.813627765,0.527132965,,,3,55,1.5074,45.23451871,ch,female,80,20,8,2017,224,summer,48.33640251,-123.5492177,20
17190,E,E,,17190HerringHerringE,NO,YES,,,,,1.377233342,0.785762981,3.658070973,0.74156792,1.377233342,0.785762981,3.658070973,0.74156792,,,2,62,2.2227,62.01660687,ch,female,80,20,8,2017,224,summer,48.33640251,-123.5492177,20
17190,F,F,,17190HerringHerringF,NO,YES,,,,,1.527248314,0.838167406,4.083852895,0.90226803,1.527248314,0.838167406,4.083852895,0.90226803,,,1,67,3.4873,69.01960579,ch,female,80,20,8,2017,224,summer,48.33640251,-123.5492177,20
17192,A,A,Unidentified Fish,17192Unidentified FishHerringA,YES,YES,3.286804338,1.811683848,9.429180629,4.227460726,3.316474505,1.82441307,9.461286974,4.235286966,3.301639422,1.818048459,9.445233802,4.231373846,,,4,,,151.8517315,ch,male,76.14213,12,2,2017,57,winter,49.57396045,-123.2784006,28
17193,A,A,,17193HerringHerringA,YES,YES,3.151899017,1.47961455,8.635859909,3.336970453,3.077973223,1.499736254,8.731640158,3.238481346,3.11493612,1.489675402,8.683750034,3.2877259,,,3,114,13.2369,143.136048,ch,,70,9,4,2017,101,spring,49.27278098,-123.3245234,29
17193,B,B,,17193HerringHerringB,YES,YES,2.655896128,1.292357042,7.221733153,2.490475608,2.591802329,1.295532636,7.153127248,2.441116856,2.623849229,1.293944839,7.187430201,2.465796232,,,3,165,32.4767,120.2111297,ch,,70,9,4,2017,101,spring,49.27278098,-123.3245234,29
17197,A,A,,17197HerringHerringA,NO,YES,,,,,4.303425935,1.952865363,12.21518629,5.936191841,4.303425935,1.952865363,12.21518629,5.936191841,,,2,201,64.1398,198.6171295,ch,male,73.60406091,12,5,2017,142,spring,49.024516,-123.565729,29
17199,A,A,,17199HerringHerringA,YES,NO,2.304991927,1.0992671,6.065856782,1.863783505,,,,,2.304991927,1.0992671,6.065856782,1.863783505,,,2,92,4.338,105.3262331,ch,female,72,10,6,2017,169,summer,49.37943964,-123.4908863,28
